sekolah,lintang,bujur,Latitude,Longitude,Area,Cluster,Area_Color
SMAN 1 JAKARTA,-6.1672,106.8373,-6.1672,106.8373,Jakarta Pusat,0,red
SMAN 10 JAKARTA,-6.1462,106.8264,-6.1462,106.8264,Jakarta Pusat,0,red
SMAN 100 JAKARTA,-6.2294,106.8826,-6.2294,106.8826,Jakarta Timur,2,blue
SMAN 101 JAKARTA,-6.218,106.7199,-6.218,106.7199,Jakarta Barat,-1,orange
SMAN 102 JAKARTA,-6.1671,106.9506,-6.1671,106.9506,Jakarta Utara,-1,green
SMAN 103 JAKARTA,-6.2209,106.9373,-6.2209,106.9373,Jakarta Timur,2,blue
SMAN 104 JAKARTA,-6.2991,106.8622,-6.2991,106.8622,Jakarta Selatan,1,purple
SMAN 105 JAKARTA,-6.3316,106.8837,-6.3316,106.8837,Jakarta Selatan,1,purple
SMAN 106 JAKARTA,-6.3148,106.8748,-6.3148,106.8748,Jakarta Selatan,1,purple
SMAN 107 JAKARTA,-6.2059,106.9253,-6.2059,106.9253,Jakarta Timur,2,blue
SMAN 108 JAKARTA,-6.2527,106.7619,-6.2527,106.7619,Jakarta Selatan,3,purple
SMAN 109 JAKARTA,-6.345,106.8356,-6.345,106.8356,Jakarta Selatan,-1,purple
SMAN 11 JAKARTA,-6.2057,106.9403,-6.2057,106.9403,Jakarta Timur,2,blue
SMAN 110 JAKARTA,-6.1337,106.905,-6.1337,106.905,Jakarta Utara,4,green
SMAN 111 JAKARTA,-6.1359,106.8017,-6.1359,106.8017,Jakarta Barat,0,orange
SMAN 112 JAKARTA,-6.1911,106.7565,-6.1911,106.7565,Jakarta Barat,-1,orange
SMAN 113 JAKARTA,-6.2929,106.903,-6.2929,106.903,Jakarta Timur,1,blue
SMAN 114 JAKARTA,-6.1097,106.9356,-6.1097,106.9356,Jakarta Utara,4,green
SMAN 115 JAKARTA,-6.1511,106.9569,-6.1511,106.9569,Jakarta Utara,-1,green
SMAN 12 JAKARTA,-6.2147,106.8978,-6.2147,106.8978,Jakarta Timur,2,blue
SMAN 13 JAKARTA,-6.1191,106.8946,-6.1191,106.8946,Jakarta Utara,-1,green
SMAN 14 JAKARTA,-6.2563,106.8678,-6.2563,106.8678,Jakarta Timur,2,blue
SMAN 15 JAKARTA,-6.1378,106.8617,-6.1378,106.8617,Jakarta Utara,-1,green
SMAN 16 JAKARTA,-6.1933,106.7862,-6.1933,106.7862,Jakarta Barat,-1,orange
SMAN 17 JAKARTA,-6.1525,106.824,-6.1525,106.824,Jakarta Pusat,0,red
SMAN 18 JAKARTA,-6.122,106.8723,-6.122,106.8723,Jakarta Utara,-1,green
SMAN 19 JAKARTA,-6.1445,106.8221,-6.1445,106.8221,Jakarta Pusat,0,red
SMAN 2 JAKARTA,-6.1485,106.8161,-6.1485,106.8161,Jakarta Pusat,0,red
SMAN 20 JAKARTA,-6.1593,106.8324,-6.1593,106.8324,Jakarta Pusat,0,red
SMAN 21 JAKARTA,-6.1853,106.8875,-6.1853,106.8875,Jakarta Utara,2,green
SMAN 22 JAKARTA,-6.2026,106.8694,-6.2026,106.8694,Jakarta Timur,2,blue
SMAN 23 JAKARTA,-6.1718,106.7994,-6.1718,106.7994,Jakarta Pusat,0,red
SMAN 24 JAKARTA,-6.2108,106.7965,-6.2108,106.7965,Jakarta Pusat,3,red
SMAN 25 JAKARTA,-6.1674,106.8139,-6.1674,106.8139,Jakarta Pusat,0,red
