sekolah,lintang,bujur
SMAN 1 JAKARTA,-61672000,1068373000
SMAN 10 JAKARTA,-61462000,1068264000
SMAN 100 JAKARTA,-62294000,1068826000
SMAN 101 JAKARTA,-62180000,1067199000
SMAN 102 JAKARTA,-61671000,1069506000
SMAN 103 JAKARTA,-62209000,1069373000
SMAN 104 JAKARTA,-62991000,1068622000
SMAN 105 JAKARTA,-63316000,1068837000
SMAN 106 JAKARTA,-63148000,1068748000
SMAN 107 JAKARTA,-62059000,1069253000
SMAN 108 JAKARTA,-62527000,1067619000
SMAN 109 JAKARTA,-63450000,1068356000
SMAN 11 JAKARTA,-62057000,1069403000
SMAN 110 JAKARTA,-61337000,1069050000
SMAN 111 JAKARTA,-61359000,1068017000
SMAN 112 JAKARTA,-61911000,1067565000
SMAN 113 JAKARTA,-62929000,1069030000
SMAN 114 JAKARTA,-61097000,1069356000
SMAN 115 JAKARTA,-61511000,1069569000
SMAN 12 JAKARTA,-62147000,1068978000
SMAN 13 JAKARTA,-61191000,1068946000
SMAN 14 JAKARTA,-62563000,1068678000
SMAN 15 JAKARTA,-61378000,1068617000
SMAN 16 JAKARTA,-61933000,1067862000
SMAN 17 JAKARTA,-61525000,1068240000
SMAN 18 JAKARTA,-61220000,1068723000
SMAN 19 JAKARTA,-61445000,1068221000
SMAN 2 JAKARTA,-61485000,1068161000
SMAN 20 JAKARTA,-61593000,1068324000
SMAN 21 JAKARTA,-61853000,1068875000
SMAN 22 JAKARTA,-62026000,1068694000
SMAN 23 JAKARTA,-61718000,1067994000
SMAN 24 JAKARTA,-62108000,1067965000
SMAN 25 JAKARTA,-61674000,1068139000
SMAN 26 JAKARTA,-62334000,1068485000
SMAN 27 JAKARTA,-61820000,1068612000
SMAN 28 JAKARTA,-62858000,1068332000
SMAN 29 JAKARTA,-62372000,1067840000
SMAN 3 JAKARTA,-62098000,1068258000
SMAN 30 JAKARTA,-61869000,1068749000
SMAN 31 JAKARTA,-62026000,1068645000
SMAN 32 JAKARTA,-62322000,1067744000
SMAN 33 JAKARTA,-61493000,1067274000
SMAN 34 JAKARTA,-63134000,1067949000
SMAN 35 JAKARTA,-62093000,1068142000
SMAN 36 JAKARTA,-61990000,1068991000
SMAN 37 JAKARTA,-62346000,1068587000
SMAN 38 JAKARTA,-63360000,1068360000
SMAN 39 JAKARTA,-63209000,1068501000
SMAN 4 JAKARTA,-61788000,1068356000
SMAN 40 JAKARTA,-61312000,1068311000
SMAN 41 JAKARTA,-61304000,1068525000
SMAN 42 JAKARTA,-62559000,1068912000
SMAN 43 JAKARTA,-62171000,1068410000
SMAN 44 JAKARTA,-62222000,1069292000
SMAN 45 JAKARTA,-61746000,1069056000
SMAN 46 JAKARTA,-62579000,1067948000
SMAN 47 JAKARTA,-62471000,1067731000
SMAN 48 JAKARTA,-62877000,1068831000
SMAN 49 JAKARTA,-63237000,1068192000
SMAN 5 JAKARTA,-61589000,1068667000
SMAN 50 JAKARTA,-62195000,1068958000
SMAN 51 JAKARTA,-62767000,1068614000
SMAN 52 JAKARTA,-61223000,1069239000
SMAN 53 JAKARTA,-62207000,1068832000
SMAN 54 JAKARTA,-62214000,1068705000
SMAN 55 JAKARTA,-62554000,1068391000
SMAN 56 JAKARTA,-61199000,1067200000
SMAN 57 JAKARTA,-61747000,1067561000
SMAN 58 JAKARTA,-63282000,1068775000
SMAN 59 JAKARTA,-62161000,1069076000
SMAN 6 JAKARTA,-62429000,1067975000
SMAN 60 JAKARTA,-62589000,1068250000
SMAN 61 JAKARTA,-62386000,1068963000
SMAN 62 JAKARTA,-62851000,1068726000
SMAN 63 JAKARTA,-62287000,1067490000
SMAN 64 JAKARTA,-63310000,1068906000
SMAN 65 JAKARTA,-62007000,1067687000
SMAN 66 JAKARTA,-63066000,1068050000
SMAN 67 JAKARTA,-62760000,1068871000
SMAN 68 JAKARTA,-61979000,1068509000
SMAN 69 JAKARTA,-57477000,1066137000
SMAN 7 JAKARTA,-62109000,1068147000
